code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
987,越秀金控,多元金融,广东,29.64,5.38,22.24,7776926.5,4492185.0,22802.5,888943.63,4.0,0.21600000000000005,5.73,1.49,20000718,108589.77,0.49,-0.57,25.37,27.61,23.9,35950.0
300112,万讯自控,电器仪表,深圳,41.58,1.74,2.86,100513.8,46723.07,20301.88,30405.6,1.06,0.17,2.88,2.96,20100827,17692.52,0.62,27.63,122.66,52.43,11.82,17493.0
603305,旭升股份,汽车配件,浙江,47.69,0.42,4.01,132038.88,71297.35,37786.84,38509.6,0.96,0.44,2.71,9.45,20170710,26008.26,0.65,0.0,0.0,45.3,30.03,15186.0
600193,创兴资源,装修装饰,上海,0.0,4.25,4.25,28494.85,7411.22,0.42,13825.98,0.33,-0.28,0.33,13.11,19990527,-47361.48,-1.11,-35.08,-3952.22,18.43,-456.12,54608.0
2353,杰瑞股份,化工机械,山东,189.82,6.67,9.58,1005823.88,727054.38,168495.63,370060.66,3.86,0.051,8.25,1.56,20100205,304030.31,3.17,10.23,-53.48,24.12,2.38,69903.0
2595,豪迈科技,专用机械,山东,19.21,5.2,8.0,423497.75,194427.56,128005.56,50634.4,0.63,0.6729999999999999,4.7,3.67,20110628,216308.09,2.7,17.34,-4.82,38.39,24.2,24047.0
603826,坤彩科技,染料涂料,福建,39.61,0.9,3.6,121154.22,63708.45,39322.42,49887.84,1.39,0.28,3.1,4.17,20170414,22415.5,0.62,0.0,0.0,45.01,25.81,28778.0
601996,丰林集团,林业,广西,25.14,9.38,9.58,228483.25,141449.98,49685.65,27101.55,0.28,0.129,1.93,2.24,20110929,58968.53,0.62,7.45,70.63,22.21,12.85,36342.0
2723,金莱特,家用电器,广东,162.64,1.26,1.87,102473.07,42257.43,45236.82,22835.13,1.22,0.08,3.54,4.89,20140129,21132.47,1.13,31.61,176.21,10.53,1.87,9862.0
2483,润邦股份,工程机械,江苏,28.69,5.75,6.72,437869.41,221940.91,109672.52,157945.13,2.35,0.14,3.65,1.19,20100929,14694.67,0.22,-28.3,-3.01,24.29,4.94,29011.0
2487,大金重工,钢加工,辽宁,83.36,5.4,5.4,281358.38,189187.59,39600.12,76019.75,1.41,0.039,3.18,1.37,20101015,37302.26,0.69,6.21,-67.23,16.32,2.98,44974.0
600489,中金黄金,黄金,北京,74.21,34.51,34.51,3893148.75,1533953.13,1194362.75,413277.5,1.2,0.08800000000000001,3.91,2.23,20030814,520690.94,1.51,23.7,-25.55,10.45,1.2,244815.0
2761,多喜爱,纺织,湖南,375.33,0.56,1.2,88466.55,49157.68,28621.24,24021.73,2.0,0.07,5.45,6.39,20150610,26201.2,2.18,-0.92,-14.35,38.52,1.88,13630.0
601588,北辰实业,区域地产,北京,13.21,26.6,33.67,7686209.5,6732945.0,237486.47,364889.72,1.08,0.248,3.65,1.2,20061016,447126.81,1.33,39.12,96.83,32.14,8.27,165282.0
2489,浙江永强,家居用品,浙江,42.53,18.75,21.76,868160.69,621660.06,100794.46,24905.4,0.11,0.077,1.51,2.89,20101021,65067.95,0.3,17.6,2.22,27.08,5.5,127000.0
2225,濮耐股份,其他建材,河南,71.32,6.24,8.9,492592.69,370365.53,60188.73,99318.5,1.12,0.046,2.67,1.65,20080425,43701.76,0.49,14.65,-35.41,29.98,2.07,47421.0
600146,商赢环球,塑料,宁夏,108.8,2.0,4.7,456420.16,264133.63,8890.8,258428.75,5.5,0.152,6.19,3.57,19990707,-13867.02,-0.3,22127.36,528.29,34.78,5.0,36332.0
2125,湘潭电化,化工原料,湖南,57.07,2.59,3.46,239177.42,79223.17,112295.52,69002.52,2.0,0.11599999999999999,3.17,2.8,20070403,4175.03,0.12,20.97,194.74,27.11,7.61,29062.0
603081,大丰实业,专用机械,浙江,42.33,0.52,4.02,254688.41,207715.47,23892.21,47921.59,1.19,0.42,3.64,6.12,20170420,52359.76,1.3,0.0,0.0,30.24,13.99,18587.0
600369,西南证券,证券,重庆,31.9,56.45,56.45,6179614.0,0.0,33104.35,785206.81,1.39,0.105,3.44,1.29,20010109,278617.06,0.49,-24.6,-44.11,0.0,26.52,149602.0
600857,宁波中百,百货,浙江,53.31,2.24,2.24,83979.4,47918.76,11677.98,6507.8,0.29,0.126,2.9,3.08,19940425,29698.71,1.32,9.04,-14.25,13.16,4.08,15517.0
601858,中国科传,出版业,北京,34.26,1.31,7.91,410007.59,358757.44,22261.52,78380.56,0.99,0.19699999999999998,3.83,2.35,20170118,134077.77,1.7,18.08,68.94,27.99,12.16,47316.0
